# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.count,1761291968453000000,1761291992987000000,3
workspaceModel.full.replace.project.model.ms,1761291968453000000,1761291992987000000,2
workspaceModel.collect.changes.ms,1761291968453000000,1761291992987000000,0
workspaceModel.check.recursive.update.ms,1761291968453000000,1761291992987000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1761291968453000000,1761291992987000000,0
workspaceModel.init.bridges.ms,1761291968453000000,1761291992987000000,2
workspaceModel.entityStorageSnapshotImpl.instances.count,1761291968453000000,1761291992987000000,20
workspaceModel.updates.precise.ms,1761291968453000000,1761291992987000000,6
workspaceModel.pre.handlers.ms,1761291968453000000,1761291992987000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1761291968453000000,1761291992987000000,745
workspaceModel.cachedValue.total.get.count,1761291968453000000,1761291992987000000,277
workspaceModel.workspaceFileIndexData.instances.count,1761291968453000000,1761291992987000000,1
workspaceModel.on.before.changed.ms,1761291968453000000,1761291992987000000,15
workspaceModel.initializing.ms,1761291968453000000,1761291992987000000,2
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1761291968453000000,1761291992987000000,109
workspaceModel.loading.from.cache.ms,1761291968453000000,1761291992987000000,123
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761291968453000000,1761291992987000000,206
workspaceModel.loading.total.ms,1761291968453000000,1761291992987000000,129
cacheStateStorage.set.duration,1761291968453000000,1761291992987000000,52
cacheStateStorage.get.counter,1761291968453000000,1761291992987000000,11
cacheStateStorage.get.duration,1761291968453000000,1761291992987000000,0
cacheStateStorage.set.counter,1761291968453000000,1761291992987000000,15
